x,y,z
0.306891,-2.36797e-16,0.590282
0.356891,-2.36797e-16,0.4
0.356669,0.00626666,0.4
0.356005,0.0124345,0.4
0.354905,0.0184062,0.4
0.353379,0.0240877,0.4
0.351441,0.0293893,0.4
0.349107,0.0342274,0.4
0.346398,0.0385257,0.4
0.343339,0.0422164,0.4
0.339956,0.0452414,0.4
0.33628,0.0475528,0.4
0.332343,0.0491144,0.4
0.32818,0.0499013,0.4
0.323827,0.0499013,0.4
0.319325,0.0491144,0.4
0.314712,0.0475528,0.4
0.31003,0.0452414,0.4
0.30532,0.0422164,0.4
0.300624,0.0385257,0.4
0.295983,0.0342274,0.4
0.29144,0.0293893,0.4
0.287033,0.0240877,0.4
0.282803,0.0184062,0.4
0.278786,0.0124345,0.4
0.275019,0.00626666,0.4
0.271535,-2.30674e-16,0.4
0.268365,-0.00626666,0.4
0.265537,-0.0124345,0.4
0.263075,-0.0184062,0.4
0.261003,-0.0240877,0.4
0.259338,-0.0293893,0.4
0.258095,-0.0342274,0.4
0.257285,-0.0385257,0.4
0.256915,-0.0422164,0.4
0.256989,-0.0452414,0.4
0.257506,-0.0475528,0.4
0.258461,-0.0491144,0.4
0.259847,-0.0499013,0.4
0.261649,-0.0499013,0.4
0.263853,-0.0491144,0.4
0.26644,-0.0475528,0.4
0.269385,-0.0452414,0.4
0.272663,-0.0422164,0.4
0.276245,-0.0385257,0.4
0.280099,-0.0342274,0.4
0.284191,-0.0293893,0.4
0.288484,-0.0240877,0.4
0.292941,-0.0184062,0.4
0.297522,-0.0124345,0.4
0.302185,-0.00626666,0.4
0.306891,-2.49044e-16,0.4
0.311596,0.00626666,0.4
0.31626,0.0124345,0.4
0.32084,0.0184062,0.4
0.325297,0.0240877,0.4
0.32959,0.0293893,0.4
0.333682,0.0342274,0.4
0.337536,0.0385257,0.4
0.341118,0.0422164,0.4
0.344396,0.0452414,0.4
0.347341,0.0475528,0.4
0.349928,0.0491144,0.4
0.352132,0.0499013,0.4
0.353935,0.0499013,0.4
0.35532,0.0491144,0.4
0.356275,0.0475528,0.4
0.356792,0.0452414,0.4
0.356866,0.0422164,0.4
0.356496,0.0385257,0.4
0.355686,0.0342274,0.4
0.354443,0.0293893,0.4
0.352778,0.0240877,0.4
0.350706,0.0184062,0.4
0.348245,0.0124345,0.4
0.345416,0.00626666,0.4
0.342246,-2.18427e-16,0.4
0.338762,-0.00626666,0.4
0.334995,-0.0124345,0.4
0.330978,-0.0184062,0.4
0.326748,-0.0240877,0.4
0.322341,-0.0293893,0.4
0.317798,-0.0342274,0.4
0.313157,-0.0385257,0.4
0.308461,-0.0422164,0.4
0.303751,-0.0452414,0.4
0.299069,-0.0475528,0.4
0.294456,-0.0491144,0.4
0.289954,-0.0499013,0.4
0.285602,-0.0499013,0.4
0.281438,-0.0491144,0.4
0.277501,-0.0475528,0.4
0.273825,-0.0452414,0.4
0.270442,-0.0422164,0.4
0.267383,-0.0385257,0.4
0.264674,-0.0342274,0.4
0.26234,-0.0293893,0.4
0.260402,-0.0240877,0.4
0.258876,-0.0184062,0.4
0.257776,-0.0124345,0.4
0.257112,-0.00626666,0.4
0.256891,-2.6129e-16,0.4
0.257112,0.00626666,0.4
0.257776,0.0124345,0.4
0.258876,0.0184062,0.4
0.260402,0.0240877,0.4
0.26234,0.0293893,0.4
0.264674,0.0342274,0.4
0.267383,0.0385257,0.4
0.270442,0.0422164,0.4
0.273825,0.0452414,0.4
0.277501,0.0475528,0.4
0.281438,0.0491144,0.4
0.285602,0.0499013,0.4
0.289954,0.0499013,0.4
0.294456,0.0491144,0.4
0.299069,0.0475528,0.4
0.303751,0.0452414,0.4
0.308461,0.0422164,0.4
0.313157,0.0385257,0.4
0.317798,0.0342274,0.4
0.322341,0.0293893,0.4
0.326748,0.0240877,0.4
0.330978,0.0184062,0.4
0.334995,0.0124345,0.4
0.338762,0.00626666,0.4
0.342246,-2.06181e-16,0.4
0.345416,-0.00626666,0.4
0.348245,-0.0124345,0.4
0.350706,-0.0184062,0.4
0.352778,-0.0240877,0.4
0.354443,-0.0293893,0.4
0.355686,-0.0342274,0.4
0.356496,-0.0385257,0.4
0.356866,-0.0422164,0.4
0.356792,-0.0452414,0.4
0.356275,-0.0475528,0.4
0.35532,-0.0491144,0.4
0.353935,-0.0499013,0.4
0.352132,-0.0499013,0.4
0.349928,-0.0491144,0.4
0.347341,-0.0475528,0.4
0.344396,-0.0452414,0.4
0.341118,-0.0422164,0.4
0.337536,-0.0385257,0.4
0.333682,-0.0342274,0.4
0.32959,-0.0293893,0.4
0.325297,-0.0240877,0.4
0.32084,-0.0184062,0.4
0.31626,-0.0124345,0.4
0.311596,-0.00626666,0.4
0.306891,-2.73536e-16,0.4
0.302185,0.00626666,0.4
0.297522,0.0124345,0.4
0.292941,0.0184062,0.4
0.288484,0.0240877,0.4
0.284191,0.0293893,0.4
0.280099,0.0342274,0.4
0.276245,0.0385257,0.4
0.272663,0.0422164,0.4
0.269385,0.0452414,0.4
0.26644,0.0475528,0.4
0.263853,0.0491144,0.4
0.261649,0.0499013,0.4
0.259847,0.0499013,0.4
0.258461,0.0491144,0.4
0.257506,0.0475528,0.4
0.256989,0.0452414,0.4
0.256915,0.0422164,0.4
0.257285,0.0385257,0.4
0.258095,0.0342274,0.4
0.259338,0.0293893,0.4
0.261003,0.0240877,0.4
0.263075,0.0184062,0.4
0.265537,0.0124345,0.4
0.268365,0.00626666,0.4
0.271535,-1.93934e-16,0.4
0.275019,-0.00626666,0.4
0.278786,-0.0124345,0.4
0.282803,-0.0184062,0.4
0.287033,-0.0240877,0.4
0.29144,-0.0293893,0.4
0.295983,-0.0342274,0.4
0.300624,-0.0385257,0.4
0.30532,-0.0422164,0.4
0.31003,-0.0452414,0.4
0.314712,-0.0475528,0.4
0.319325,-0.0491144,0.4
0.323827,-0.0499013,0.4
0.32818,-0.0499013,0.4
0.332343,-0.0491144,0.4
0.33628,-0.0475528,0.4
0.339956,-0.0452414,0.4
0.343339,-0.0422164,0.4
0.346398,-0.0385257,0.4
0.349107,-0.0342274,0.4
0.351441,-0.0293893,0.4
0.353379,-0.0240877,0.4
0.354905,-0.0184062,0.4
0.356005,-0.0124345,0.4
0.356669,-0.00626666,0.4
0.356891,-2.85783e-16,0.4
